ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR322,Esperance WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR323,Esperance WA,Local-scale 132km x 132km Composite,N/A,1.2
IDR324,Esperance WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR32A,Esperance WA,Rainfields per 6 minutes,N/A,1.2
IDR32B,Esperance WA,Rainfields per hour,N/A,1.2
IDR32C,Esperance WA,Rainfields since 9am,N/A,10
IDR32D,Esperance WA,Rainfields in 24 hours,N/A,240
IDR32I,Esperance WA,Doppler wind velocity,N/A,1.2

IDR331,Ceduna SA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR332,Ceduna SA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR333,Ceduna SA,Local-scale 133km x 133km Composite,N/A,1.2
IDR334,Ceduna SA,Local-scale 64km x 64km Composite,N/A,1.2
IDR33A,Ceduna SA,Rainfields per 6 minutes,N/A,1.2
IDR33B,Ceduna SA,Rainfields per hour,N/A,1.2
IDR33C,Ceduna SA,Rainfields since 9am,N/A,10
IDR33D,Ceduna SA,Rainfields in 24 hours,N/A,240
IDR33I,Ceduna SA,Doppler wind velocity,N/A,1.2

IDR361,Gulf of Carpentaria QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR362,Gulf of Carpentaria QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR363,Gulf of Carpentaria QLD,Local-scale 136km x 136km Composite,N/A,1.2
IDR36A,Gulf of Carpentaria QLD,Rainfields per 6 minutes,N/A,1.2

IDR371,Hobart TAS,Broad-scale 512km x 512km Composite,N/A,1.2
IDR372,Hobart TAS,Mid-scale 256km x 256km Composite,N/A,1.2
IDR373,Hobart TAS,Local-scale 137km x 137km Composite,N/A,1.2
IDR37A,Hobart TAS,Rainfields per 6 minutes,N/A,1.2

IDR381,Newdegate WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR382,Newdegate WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR383,Newdegate WA,Local-scale 138km x 138km Composite,N/A,1.2
IDR384,Newdegate WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR38A,Newdegate WA,Rainfields per 6 minutes,N/A,1.2
IDR38B,Newdegate WA,Rainfields per hour,N/A,1.2
IDR38C,Newdegate WA,Rainfields since 9am,N/A,10
IDR38D,Newdegate WA,Rainfields in 24 hours,N/A,240
IDR38I,Newdegate WA,Doppler wind velocity,N/A,1.2

IDR391,Halls Creek WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR392,Halls Creek WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR393,Halls Creek WA,Local-scale 139km x 139km Composite,N/A,1.2
IDR39A,Halls Creek WA,Rainfields per 6 minutes,N/A,1.2

IDR401,Canberra/Captains Flat NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR402,Canberra/Captains Flat NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR403,Canberra/Captains Flat NSW,Local-scale 140km x 140km Composite,N/A,1.2
IDR404,Canberra/Captains Flat NSW,Local-scale 64km x 64km Composite,N/A,1.2
IDR40A,Canberra/Captains Flat NSW,Rainfields per 6 minutes,N/A,1.2
IDR40B,Canberra/Captains Flat NSW,Rainfields per hour,N/A,1.2
IDR40C,Canberra/Captains Flat NSW,Rainfields since 9am,N/A,10
IDR40D,Canberra/Captains Flat NSW,Rainfields in 24 hours,N/A,240
IDR40I,Canberra/Captains Flat NSW,Doppler wind velocity,N/A,1.2

IDR411,Willis QLD,Broad Scale 512km x 512km Composite,N/A,1.2
IDR412,Willis QLD,Mid-scale 256km x 256km Composite,N/A,1.2
